Order_ID,Customer_ID,Order_Date,Category,Product_Name,Quantity,Price,Total_Amount,Discount_Percent,Final_Amount,Payment_Method,Order_Status,Rating
ORD000001,CUST00613,2024-09-10,Electronics,Smartphone,3,44559.61,133678.83,0.0,133678.83,Credit Card,Delivered,5.0
ORD000002,CUST00602,2024-08-13,Electronics,Laptop,3,49978.96,149936.88,0.0,149936.88,Debit Card,Delivered,4.0
ORD000003,CUST00939,2024-03-22,Clothing,Jacket,5,1316.7,6583.5,20.0,5266.8,Net Banking,Delivered,4.0
ORD000004,CUST00357,2023-06-14,Home,Lamp,1,10665.94,10665.94,0.0,10665.94,Net Banking,Delivered,4.0
ORD000005,CUST00834,2023-04-01,Sports,Bicycle,4,8476.4,33905.6,,33905.6,UPI,Delivered,4.0
ORD000006,CUST00886,2024-11-04,Books,Non-Fiction,1,1272.41,1272.41,0.0,1272.41,Net Banking,Processing,
ORD000007,CUST00193,2024-10-02,Books,Non-Fiction,4,670.31,2681.24,0.0,2681.24,Credit Card,Delivered,5.0
ORD000008,CUST00135,2023-05-05,Clothing,Shoes,4,2471.52,9886.08,10.0,8897.47,COD,Delivered,2.0
ORD000009,CUST00319,2023-04-06,Books,Comics,4,217.78,871.12,0.0,871.12,Credit Card,Delivered,1.0
ORD000010,CUST00664,2024-06-05,Electronics,Smartwatch,3,25320.07,75960.21,10.0,68364.19,Net Banking,Shipped,
ORD000011,CUST00484,2024-01-28,Clothing,Dress,2,2555.54,5111.08,5.0,4855.53,COD,Delivered,2.0
ORD000012,CUST00885,2023-12-15,Electronics,Tablet,4,14391.37,57565.48,0.0,57565.48,COD,Cancelled,
ORD000013,CUST00003,2024-08-16,Clothing,Shoes,5,3767.23,18836.15,15.0,16010.73,Net Banking,Returned,
ORD000014,CUST00458,2024-07-19,Books,Comics,3,829.64,2488.92,0.0,2488.92,Net Banking,Shipped,
ORD000015,CUST00330,2024-08-08,Clothing,Jeans,2,4913.49,9826.98,0.0,9826.98,Net Banking,Delivered,4.0
ORD000016,CUST00723,2024-05-22,Home,Chair,2,12196.28,24392.56,5.0,23172.93,Debit Card,Returned,
ORD000017,CUST00605,2023-04-13,Home,Sofa,4,26221.31,104885.24,0.0,104885.24,Net Banking,Delivered,
ORD000018,CUST00420,2024-04-25,Sports,Cricket Bat,1,14564.37,14564.37,0.0,14564.37,UPI,Shipped,
ORD000019,CUST00710,2024-11-21,Home,Chair,3,19845.26,59535.78,20.0,47628.62,Net Banking,Processing,
ORD000020,CUST00642,2024-07-08,Sports,Yoga Mat,4,13367.86,53471.44,0.0,53471.44,Credit Card,Delivered,3.0
ORD000021,CUST00233,2024-10-10,Sports,Dumbbells,1,1810.5,1810.5,0.0,1810.5,Credit Card,Shipped,
ORD000022,CUST00711,2023-11-29,Clothing,Shoes,1,4565.41,4565.41,0.0,4565.41,UPI,Shipped,
ORD000023,CUST00442,2024-08-02,Electronics,Smartwatch,4,12814.51,51258.04,0.0,51258.04,Debit Card,Delivered,1.0
ORD000024,CUST00625,2024-05-24,Home,Chair,2,18971.6,37943.2,0.0,37943.2,Debit Card,Cancelled,
ORD000025,CUST00654,2024-04-21,Clothing,Jacket,1,2568.07,2568.07,0.0,2568.07,COD,Cancelled,
ORD000026,CUST00453,2024-10-16,Home,Table,3,29641.9,88925.7,0.0,88925.7,UPI,Returned,
ORD000027,CUST00310,2023-04-20,Clothing,Jeans,4,4997.18,19988.72,0.0,19988.72,COD,Delivered,3.0
ORD000028,CUST00717,2023-10-09,Clothing,Shoes,4,598.73,2394.92,15.0,2035.68,Credit Card,Delivered,4.0
ORD000029,CUST00853,2024-09-13,Clothing,Shoes,2,3990.83,7981.66,5.0,7582.58,Debit Card,Shipped,
ORD000030,CUST00636,2024-10-05,Clothing,Jacket,2,3549.94,7099.88,0.0,7099.88,Credit Card,Delivered,4.0
ORD000031,CUST00035,2023-04-03,Books,Magazine,2,674.32,1348.64,10.0,1213.78,UPI,Cancelled,
ORD000032,CUST00180,2024-01-10,Clothing,Jeans,5,1094.72,5473.6,10.0,4926.24,UPI,Delivered,3.0
ORD000033,CUST00936,2023-12-13,Books,Fiction,3,1457.6,4372.8,20.0,3498.24,Net Banking,Shipped,
ORD000034,CUST00145,2024-07-24,Sports,Bicycle,4,14514.25,58057.0,0.0,58057.0,Net Banking,Delivered,5.0
ORD000035,CUST00127,2024-08-21,Home,Rug,3,11688.98,35066.94,0.0,35066.94,UPI,Delivered,2.0
ORD000036,CUST00483,2023-12-02,Electronics,Laptop,5,31281.71,156408.55,5.0,148588.12,Debit Card,Cancelled,
ORD000037,CUST00651,2024-10-26,Home,Rug,3,27372.24,82116.72,0.0,82116.72,Debit Card,Delivered,1.0
ORD000038,CUST00312,2024-07-04,Books,Fiction,2,350.96,701.92,0.0,701.92,Net Banking,Delivered,5.0
ORD000039,CUST00430,2024-02-29,Books,Magazine,2,1164.95,2329.9,5.0,2213.41,Net Banking,Delivered,3.0
ORD000040,CUST00034,2024-03-31,Sports,Yoga Mat,4,5872.68,23490.72,0.0,23490.72,UPI,Returned,
ORD000041,CUST00703,2023-03-04,Home,Table,3,16789.51,50368.53,20.0,40294.82,Debit Card,Delivered,4.0
ORD000042,CUST00094,2023-01-22,Sports,Football,5,3575.53,17877.65,0.0,17877.65,UPI,Delivered,2.0
ORD000043,CUST00806,2023-08-01,Books,Magazine,5,466.77,2333.85,0.0,2333.85,Debit Card,Delivered,2.0
ORD000044,CUST00808,2023-05-14,Books,Textbook,2,203.69,407.38,0.0,407.38,Debit Card,Delivered,1.0
ORD000045,CUST00135,2024-08-25,Electronics,Laptop,2,18425.52,36851.04,0.0,36851.04,Debit Card,Delivered,2.0
ORD000046,CUST00760,2024-05-02,Home,Lamp,1,16256.48,16256.48,5.0,15443.66,UPI,Delivered,1.0
ORD000047,CUST00463,2023-02-14,Books,Non-Fiction,5,488.01,2440.05,0.0,2440.05,COD,Shipped,
ORD000048,CUST00659,2024-02-16,Electronics,Laptop,4,3792.61,15170.44,0.0,15170.44,Credit Card,Delivered,4.0
ORD000049,CUST00076,2023-03-09,Electronics,Tablet,2,16647.9,33295.8,5.0,31631.01,COD,Delivered,5.0
ORD000050,CUST00730,2024-06-27,Home,Sofa,5,12046.23,60231.15,5.0,57219.59,COD,Delivered,1.0
ORD000051,CUST00813,2023-08-09,Sports,Yoga Mat,5,2159.0,10795.0,0.0,10795.0,Debit Card,Delivered,4.0
ORD000052,CUST00409,2024-03-13,Home,Lamp,3,22158.76,66476.28,0.0,66476.28,UPI,Delivered,2.0
ORD000053,CUST00704,2023-04-06,Books,Fiction,1,287.27,287.27,10.0,258.54,UPI,Delivered,5.0
ORD000054,CUST00062,2023-12-04,Books,Magazine,5,1443.61,7218.05,0.0,7218.05,Net Banking,Delivered,4.0
ORD000055,CUST00889,2024-09-06,Sports,Dumbbells,3,1245.97,3737.91,5.0,3551.01,Credit Card,Delivered,2.0
ORD000056,CUST00159,2023-12-25,Sports,Football,1,7491.75,7491.75,0.0,7491.75,UPI,Shipped,
ORD000057,CUST00286,2024-07-28,Books,Magazine,4,494.01,1976.04,5.0,1877.24,COD,Returned,
ORD000058,CUST00659,2023-01-30,Books,Comics,3,234.13,702.39,15.0,597.03,UPI,Delivered,3.0
ORD000059,CUST00007,2024-11-04,Clothing,Shirt,5,4414.38,22071.9,10.0,19864.71,Debit Card,Delivered,1.0
ORD000060,CUST00094,2024-03-05,Sports,Dumbbells,4,8192.0,32768.0,0.0,32768.0,Debit Card,Delivered,3.0
